submission_date,state,tot_cases,tot_death
2022/01/06,PA,2174846,37366
2022/01/06,ND,180646,2028
2022/01/06,FL,4562077,63014
2022/01/06,KS,549721,7059
2022/01/06,VT,66232,459
2022/01/06,WA,913980,9974
2022/01/06,CA,5844204,76054
2022/01/05,MO,1054485,16300
2022/01/05,NE,353056,3416
2022/01/05,AL,948363,16666
2022/01/05,NM,361629,5933
2022/01/05,SD,185284,2507
2022/01/05,IL,2295445,31416
2022/01/05,KS,549721,7059
2022/01/05,UT,663654,3863
2022/01/05,NJ,1711738,29209
2022/01/05,CT,554812,9281
2022/01/05,FL,4485286,62989
2022/01/05,AK,155871,947
2022/01/05,MS,572694,10503
2022/01/05,TX,4847637,74888
2022/01/05,WY,118098,1572
2022/01/05,VA,1202736,15643
2022/01/05,NC,1778075,19660
2022/01/05,AR,588622,9256
2022/01/05,NV,520948,8488
2022/01/05,RI,255780,3111
2022/01/05,KY,895370,12284
2022/01/05,VT,64190,459
2022/01/05,MD,788965,12048
2022/01/05,DE,192968,2286
2022/01/05,MA,1223354,20464
2022/01/05,GA,1928942,31521
2022/01/05,ME,150846,1592
2022/01/05,TN,1478188,20998
2022/01/05,LA,879549,15027
2022/01/05,CA,5766356,76054
2022/01/05,MT,200558,2912
2022/01/05,OR,441648,5719
2022/01/05,WV,342607,5372
2022/01/05,CO,971525,10354
2022/01/05,IA,596296,8019
2022/01/05,OH,2112824,29674
2022/01/05,ND,179161,2027
2022/01/05,WA,899036,9909
2022/01/05,MN,1049310,10811
2022/01/05,PA,2147482,37111
2022/01/05,MI,1808738,29659
2022/01/05,OK,731155,11650
2022/01/05,WI,1156050,11319
2022/01/05,NH,208073,2013
2022/01/05,IN,1299480,19296
2022/01/05,SC,1022026,14717
2022/01/05,NY,2067290,23880
2022/01/05,ID,323965,4192
2022/01/05,HI,122385,1083
2022/01/05,AZ,1419562,24570
2022/01/04,WA,888336,9909
2022/01/04,AR,581134,9248
2022/01/04,TX,4798692,74796
2022/01/04,NV,517246,8468
2022/01/04,VT,63401,458
2022/01/04,MD,776230,11993
2022/01/04,MA,1192549,20410
2022/01/04,KY,885678,12255
2022/01/04,NC,1756529,19642
2022/01/04,OR,435453,5710
2022/01/04,MT,199455,2911
2022/01/04,AZ,1411813,24509
2022/01/04,NJ,1674453,29151
2022/01/04,HI,119830,1083
2022/01/04,DE,191649,2286
2022/01/04,MO,1042221,16279
2022/01/04,WV,339679,5361
2022/01/04,MS,566102,10492
2022/01/04,VA,1186895,15631
2022/01/04,RI,249223,3107
2022/01/04,NM,359116,5897
2022/01/04,GA,1904918,31494
2022/01/04,CT,544468,9274
2022/01/04,AL,935241,16661
2022/01/04,MN,1045170,10740
2022/01/04,TN,1462905,20952
2022/01/04,NE,349523,3373
2022/01/04,AK,154369,947
2022/01/04,MI,1792295,29460
2022/01/04,ME,149543,1582
2022/01/04,SD,183030,2498
2022/01/04,SC,1013708,14676
2022/01/04,KS,534399,7044
